epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,237.783,0.77558,1.26332,0.70631,0.95126,0.37095,0.45243,0.37357,0.22629,0.52053,0.361,0.37856,0.18874,1.44013,3.02899,1.71292,1.24521,0.00123936,0.00123936,0.00123936
88,240.351,0.81058,1.27733,0.62072,0.94533,0.4791,0.37055,0.39567,0.23083,0.47419,0.36222,0.38097,0.18804,1.42269,3.14195,1.99443,1.25621,0.00123923,0.00123923,0.00123923
89,242.943,0.75478,1.29447,0.76383,0.96283,0.34316,0.4761,0.36435,0.20958,0.34498,0.49885,0.35356,0.18578,1.49994,3.41607,2.00926,1.30724,0.00123911,0.00123911,0.00123911
90,245.486,0.76646,1.29686,0.62744,0.93876,0.26238,0.48771,0.32101,0.19049,0.33971,0.50207,0.35513,0.16899,1.52062,3.28769,1.87962,1.32176,0.00123899,0.00123899,0.00123899
91,248.042,0.75324,1.13955,0.63295,0.93312,0.29937,0.52163,0.31415,0.17771,0.39075,0.41265,0.31361,0.13805,1.65161,3.32893,1.91031,1.28999,0.00123886,0.00123886,0.00123886
92,250.595,0.83721,1.47395,0.84099,0.93935,0.33911,0.50017,0.32078,0.17881,0.38198,0.43266,0.31436,0.14913,1.68854,3.46036,2.02486,1.26968,0.00123874,0.00123874,0.00123874
93,253.143,0.75092,1.39503,0.62135,0.91799,0.34204,0.48593,0.33486,0.18672,0.33203,0.46834,0.32392,0.17254,1.63125,3.449,2.14668,1.25813,0.00123861,0.00123861,0.00123861
94,255.69,0.7838,1.35863,0.67466,0.95457,0.37565,0.4281,0.34999,0.19821,0.39252,0.44301,0.36014,0.17729,1.58953,3.09124,2.12579,1.25435,0.00123849,0.00123849,0.00123849
95,258.24,0.73949,1.37017,0.62967,0.92,0.38984,0.482,0.36306,0.20292,0.41021,0.49691,0.37493,0.18663,1.60257,3.00871,1.8946,1.26155,0.00123837,0.00123837,0.00123837
96,260.804,0.76154,1.31791,0.64874,0.9299,0.32747,0.52273,0.35578,0.2074,0.30958,0.51986,0.35298,0.19505,1.70864,3.33248,1.8966,1.32237,0.00123824,0.00123824,0.00123824
97,263.356,0.73487,1.2641,0.72668,0.94847,0.28416,0.5433,0.32558,0.18808,0.28574,0.54808,0.32578,0.18144,1.73123,3.79285,2.34724,1.37809,0.00123812,0.00123812,0.00123812
98,265.926,0.73964,1.3266,0.61384,0.95251,0.27869,0.49479,0.31996,0.18242,0.27518,0.48715,0.31105,0.18098,1.67355,3.5638,2.38308,1.3478,0.001238,0.001238,0.001238
99,268.479,0.69379,1.3144,0.60289,0.92622,0.31699,0.48989,0.31873,0.18625,0.30718,0.47673,0.29998,0.18349,1.7879,3.29952,1.93504,1.35417,0.00123787,0.00123787,0.00123787
100,271.048,0.69965,1.21475,0.59216,0.91894,0.34135,0.44219,0.33826,0.18264,0.3362,0.43979,0.32456,0.18115,1.9616,3.07038,2.08644,1.32614,0.00123775,0.00123775,0.00123775
101,273.625,0.70268,1.1241,0.56845,0.8899,0.31068,0.4417,0.33113,0.17822,0.31217,0.52113,0.33626,0.16097,1.87416,2.96607,2.29855,1.32189,0.00123763,0.00123763,0.00123763
102,276.177,0.68008,1.25657,0.56548,0.92726,0.30588,0.57146,0.33533,0.17769,0.32097,0.52233,0.35302,0.16174,1.30261,2.98846,2.41067,1.26167,0.0012375,0.0012375,0.0012375
103,278.742,0.70514,1.26383,0.57699,0.90151,0.36614,0.50374,0.37125,0.18953,0.33444,0.47937,0.34963,0.16129,1.67486,2.93388,1.94131,1.39031,0.00123738,0.00123738,0.00123738
104,281.303,0.74273,1.36688,0.60679,0.94592,0.3855,0.4461,0.38871,0.19676,0.38598,0.42217,0.37553,0.1742,1.89986,3.20036,1.58124,1.58044,0.00123725,0.00123725,0.00123725
105,283.85,0.69685,1.29042,0.59211,0.91303,0.35389,0.44078,0.37816,0.19913,0.39248,0.37831,0.36529,0.17887,1.90093,3.46992,1.59813,1.5529,0.00123713,0.00123713,0.00123713
106,286.421,0.69205,1.26151,0.53458,0.90023,0.43124,0.3766,0.3402,0.18327,0.42304,0.36473,0.33421,0.15594,1.80351,3.59152,2.00426,1.39404,0.00123701,0.00123701,0.00123701
107,288.992,0.66574,1.17545,0.53152,0.90614,0.27867,0.49896,0.30747,0.1706,0.33521,0.4263,0.30005,0.13955,1.75063,3.71224,2.04409,1.32209,0.00123688,0.00123688,0.00123688
108,291.543,0.73058,1.31321,0.59385,0.92766,0.41506,0.45567,0.32714,0.18184,0.46881,0.38107,0.33013,0.15815,1.55087,3.46227,2.18673,1.24847,0.00123676,0.00123676,0.00123676
109,294.104,0.64569,1.11628,0.60976,0.88315,0.40916,0.44188,0.35992,0.19554,0.40703,0.4353,0.36368,0.18365,1.57151,3.14105,2.09524,1.25935,0.00123664,0.00123664,0.00123664
110,296.63,0.65783,1.14381,0.51722,0.90305,0.43987,0.43574,0.39463,0.22033,0.50436,0.40302,0.3972,0.21676,1.67081,3.20674,1.83529,1.3023,0.00123651,0.00123651,0.00123651
111,299.233,0.65879,1.11307,0.54521,0.90208,0.53567,0.40554,0.39568,0.22856,0.51943,0.39258,0.38812,0.21765,1.73498,3.38942,1.64385,1.30617,0.00123639,0.00123639,0.00123639
112,301.826,0.68979,1.15865,0.56172,0.89485,0.49443,0.40714,0.40652,0.24154,0.49706,0.41177,0.40892,0.23421,1.93829,3.33741,1.60894,1.39189,0.00123626,0.00123626,0.00123626
113,304.425,0.64788,1.02873,0.53719,0.9219,0.6652,0.35562,0.39447,0.2484,0.6583,0.35605,0.38915,0.22603,2.0535,3.21345,1.68533,1.41842,0.00123614,0.00123614,0.00123614
114,306.954,0.80539,1.3976,0.63134,0.91353,0.43944,0.40342,0.35419,0.20728,0.42906,0.40821,0.348,0.18667,1.66838,3.09753,1.70683,1.26562,0.00123602,0.00123602,0.00123602
115,309.538,0.73406,1.15954,0.63775,0.9532,0.34435,0.50734,0.3623,0.20517,0.35072,0.49915,0.35849,0.19142,1.35772,3.03497,1.82735,1.22337,0.00123589,0.00123589,0.00123589
116,312.081,0.69291,1.13659,0.59429,0.93698,0.62907,0.37748,0.416,0.24054,0.44992,0.40686,0.40672,0.22321,1.25051,2.95243,1.83384,1.19339,0.00123577,0.00123577,0.00123577
117,314.627,0.76197,1.27516,0.61957,0.94323,0.60846,0.33322,0.38241,0.2269,0.60575,0.32859,0.38834,0.21486,1.29345,2.7766,2.21816,1.16326,0.00123565,0.00123565,0.00123565
118,317.186,0.70998,1.24684,0.63147,0.91822,0.45389,0.39165,0.38767,0.23323,0.35998,0.48879,0.38477,0.21312,1.4724,2.73133,1.97793,1.18259,0.00123552,0.00123552,0.00123552
119,319.735,0.72558,1.10418,0.69175,0.91356,0.42258,0.35273,0.34943,0.20498,0.41998,0.34229,0.34324,0.19501,1.18834,2.58542,1.90757,1.14731,0.0012354,0.0012354,0.0012354
120,322.287,0.72084,1.23224,0.62946,0.93529,0.60152,0.29938,0.33449,0.18758,0.53817,0.31545,0.33716,0.19135,1.32028,2.85689,2.32413,1.18933,0.00123527,0.00123527,0.00123527
121,324.819,0.69131,1.12255,0.55531,0.90691,0.58123,0.31222,0.3407,0.19405,0.57736,0.31402,0.33481,0.20388,1.62826,3.77444,2.6847,1.33452,0.00123515,0.00123515,0.00123515
122,327.369,0.75075,1.13517,0.63628,0.92647,0.40368,0.38191,0.37139,0.21176,0.39703,0.36803,0.36384,0.21655,1.81245,4.28577,2.27811,1.45265,0.00123503,0.00123503,0.00123503
123,329.926,0.68269,1.14556,0.56938,0.89688,0.41491,0.40842,0.34024,0.20369,0.40868,0.43282,0.34115,0.1952,1.4804,4.4114,2.68497,1.33291,0.0012349,0.0012349,0.0012349
124,332.493,0.72858,1.09129,0.61452,0.88572,0.35819,0.47543,0.35946,0.19857,0.35766,0.4843,0.36627,0.19758,1.64404,4.66983,1.70027,1.36895,0.00123478,0.00123478,0.00123478
125,335.058,0.68283,1.22567,0.57036,0.88771,0.37737,0.40926,0.36275,0.1961,0.34048,0.42869,0.35782,0.19529,1.69853,4.50171,1.95807,1.46145,0.00123466,0.00123466,0.00123466
126,337.6,0.67119,1.07734,0.54509,0.876,0.30875,0.4263,0.33354,0.1816,0.31883,0.43946,0.33473,0.18404,1.89049,4.4914,2.16965,1.56893,0.00123453,0.00123453,0.00123453
127,340.151,0.62312,1.16303,0.51118,0.87955,0.49707,0.34506,0.36726,0.2069,0.50032,0.34969,0.36962,0.20123,1.96307,4.30416,2.12417,1.60786,0.00123441,0.00123441,0.00123441
128,342.704,0.71444,1.11762,0.55785,0.92655,0.49905,0.36128,0.40357,0.23843,0.49602,0.35739,0.39633,0.22711,2.01484,4.24087,1.92779,1.58277,0.00123428,0.00123428,0.00123428
129,345.278,0.64873,1.04767,0.50989,0.89296,0.5959,0.3496,0.41507,0.22672,0.584,0.33663,0.39655,0.22103,1.96381,4.4784,1.82086,1.57523,0.00123416,0.00123416,0.00123416
