epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,225.52,0.89404,1.33164,0.65837,0.97681,0.68198,0.49765,0.57561,0.37843,0.68439,0.48903,0.56848,0.31658,1.3293,2.26527,1.43374,1.27311,0.00995743,0.00995743,0.00995743
45,230.395,0.90807,1.43003,0.72381,0.98624,0.68619,0.69482,0.68685,0.43354,0.66562,0.67136,0.66798,0.40106,1.30485,2.28681,1.28807,1.32399,0.00995644,0.00995644,0.00995644
46,235.298,0.87616,1.33777,0.71534,0.96366,0.83479,0.60031,0.69221,0.43503,0.8295,0.57356,0.65846,0.4222,1.29006,2.19431,1.18262,1.32578,0.00995545,0.00995545,0.00995545
47,240.21,0.84895,1.30292,0.68677,0.95736,0.7187,0.64203,0.67557,0.405,0.70078,0.62494,0.64952,0.38238,1.26824,2.15506,1.19518,1.26592,0.00995446,0.00995446,0.00995446
48,245.14,0.90933,1.33019,0.6674,0.9669,0.75453,0.62333,0.62589,0.39667,0.72431,0.60697,0.61087,0.34359,1.31016,2.32199,1.25309,1.27841,0.00995347,0.00995347,0.00995347
49,250.041,0.92223,1.27067,0.6991,0.96568,0.75167,0.60109,0.66131,0.39205,0.74275,0.59247,0.65206,0.37314,1.30364,2.20735,1.33276,1.32779,0.00995248,0.00995248,0.00995248
50,254.913,0.87545,1.31969,0.67585,0.96716,0.69787,0.66301,0.70189,0.46565,0.71697,0.67712,0.72558,0.42595,1.22309,2.07407,1.23704,1.26962,0.00995149,0.00995149,0.00995149
51,259.826,0.88282,1.27911,0.62845,0.95921,0.75696,0.6489,0.70182,0.4374,0.79606,0.62304,0.70297,0.41521,1.30508,2.05748,1.28798,1.33256,0.0099505,0.0099505,0.0099505
52,264.713,0.84098,1.1619,0.64044,0.94721,0.58702,0.73639,0.69697,0.43051,0.5814,0.72777,0.69074,0.43334,1.35392,1.85237,1.27749,1.37593,0.00994951,0.00994951,0.00994951
53,269.625,0.85066,1.18543,0.65136,0.94672,0.67404,0.60345,0.62515,0.38735,0.75958,0.66614,0.69546,0.41901,1.34562,1.89574,1.24147,1.33425,0.00994852,0.00994852,0.00994852
54,274.537,0.86553,1.28619,0.64858,0.95055,0.62953,0.58227,0.56944,0.34407,0.68526,0.60196,0.63313,0.35495,1.40387,2.10795,1.55195,1.38771,0.00994753,0.00994753,0.00994753
55,279.418,0.89845,1.23207,0.66044,0.9678,0.50489,0.57759,0.57022,0.36793,0.55419,0.62304,0.60099,0.36786,1.44893,2.16797,1.50353,1.42103,0.00994654,0.00994654,0.00994654
56,284.343,0.79611,1.13757,0.60695,0.9262,0.62672,0.56583,0.59812,0.3767,0.65101,0.5431,0.59653,0.37404,1.41373,2.26384,1.51545,1.38888,0.00994555,0.00994555,0.00994555
57,289.266,0.83108,1.2749,0.63259,0.94957,0.75214,0.58806,0.60323,0.37516,0.72199,0.59483,0.62809,0.37397,1.3161,2.19927,1.50757,1.27903,0.00994456,0.00994456,0.00994456
58,294.192,0.80828,1.16875,0.61393,0.92818,0.6495,0.62339,0.60031,0.37585,0.68872,0.65643,0.65609,0.35031,1.41513,2.22181,1.52844,1.39842,0.00994357,0.00994357,0.00994357
59,299.09,0.79611,1.2362,0.61177,0.95049,0.57744,0.67865,0.61259,0.38477,0.58326,0.69312,0.63116,0.37717,1.35021,2.1704,1.5088,1.38278,0.00994258,0.00994258,0.00994258
60,304.015,0.81321,1.19399,0.64245,0.95826,0.58641,0.57923,0.55564,0.34838,0.61829,0.60423,0.59029,0.3393,1.35775,2.276,1.52492,1.36584,0.00994159,0.00994159,0.00994159
61,308.959,0.81858,1.19097,0.66107,0.94388,0.54614,0.72942,0.60826,0.40048,0.54953,0.72257,0.60979,0.37184,1.32217,2.26421,1.47471,1.32099,0.0099406,0.0099406,0.0099406
62,313.868,0.86187,1.1909,0.67951,0.9681,0.68045,0.69855,0.68405,0.46101,0.68045,0.69855,0.68941,0.45401,1.26691,2.23907,1.26466,1.32335,0.00993961,0.00993961,0.00993961
63,318.799,0.78444,1.16264,0.63288,0.94595,0.61507,0.61442,0.61119,0.39737,0.59744,0.59718,0.6109,0.39396,1.31746,2.51391,1.50362,1.33566,0.00993862,0.00993862,0.00993862
64,323.731,0.81871,1.10228,0.6205,0.92656,0.59092,0.54423,0.55898,0.37009,0.59022,0.54545,0.57748,0.35519,1.31086,2.39753,1.5338,1.28616,0.00993763,0.00993763,0.00993763
65,328.688,0.87005,1.14609,0.63203,0.94477,0.63505,0.51176,0.60974,0.37773,0.62567,0.50313,0.60424,0.37944,1.26345,2.46969,1.36093,1.23109,0.00993664,0.00993664,0.00993664
66,333.61,0.82049,1.16772,0.59071,0.93902,0.77275,0.48804,0.61274,0.41768,0.78808,0.49666,0.62012,0.40128,1.25506,2.36034,1.5712,1.21746,0.00993565,0.00993565,0.00993565
67,338.511,0.78712,1.22883,0.62047,0.93826,0.72754,0.53997,0.63949,0.44419,0.74832,0.55721,0.64696,0.4318,1.25825,2.17939,1.40214,1.24378,0.00993466,0.00993466,0.00993466
68,343.452,0.82742,1.15593,0.62828,0.95336,0.64931,0.53997,0.55512,0.36178,0.64931,0.53997,0.56172,0.3329,1.43161,2.34219,1.75011,1.34478,0.00993367,0.00993367,0.00993367
69,348.397,0.80375,1.16438,0.5944,0.93371,0.73024,0.60031,0.65339,0.40931,0.72066,0.59169,0.65241,0.38515,1.23041,2.08999,1.31226,1.23399,0.00993268,0.00993268,0.00993268
70,353.314,0.83449,1.15101,0.63425,0.93743,0.66058,0.60345,0.65898,0.44885,0.66058,0.60345,0.66428,0.40863,1.203,2.09426,1.30632,1.26395,0.00993169,0.00993169,0.00993169
71,358.226,0.74595,1.14013,0.56469,0.91133,0.66063,0.53448,0.62875,0.4314,0.66971,0.53448,0.63127,0.42052,1.31653,2.11936,1.41835,1.3323,0.0099307,0.0099307,0.0099307
72,363.131,0.82719,1.07921,0.6144,0.94419,0.83048,0.54975,0.64353,0.42883,0.82048,0.54524,0.64377,0.43081,1.28287,2.14918,1.36895,1.28757,0.00992971,0.00992971,0.00992971
73,368.053,0.79975,1.13972,0.61731,0.96006,0.75339,0.53072,0.61489,0.40691,0.73861,0.5221,0.61987,0.41519,1.32639,2.22524,1.48759,1.29193,0.00992872,0.00992872,0.00992872
74,372.979,0.72737,1.05648,0.54529,0.93111,0.76169,0.54782,0.60474,0.42294,0.80709,0.57509,0.64172,0.41384,1.32784,2.25342,1.47274,1.34887,0.00992773,0.00992773,0.00992773
75,377.896,0.77751,1.10982,0.57029,0.93499,0.8144,0.48057,0.59661,0.38284,0.84321,0.48706,0.61261,0.38235,1.42606,2.24431,1.5817,1.40677,0.00992674,0.00992674,0.00992674
76,382.824,0.80242,1.14212,0.61263,0.93896,0.59864,0.57524,0.59402,0.36687,0.64469,0.56897,0.60902,0.36889,1.45828,2.13274,1.48769,1.44684,0.00992575,0.00992575,0.00992575
77,387.758,0.782,1.11629,0.56651,0.93312,0.71553,0.53683,0.60444,0.3639,0.72707,0.54545,0.60694,0.37321,1.47224,2.40414,1.65801,1.43693,0.00992476,0.00992476,0.00992476
78,392.716,0.79186,1.20971,0.59146,0.94013,0.63086,0.57524,0.63903,0.41449,0.62446,0.56661,0.62292,0.4039,1.30557,1.95483,1.49039,1.3014,0.00992377,0.00992377,0.00992377
79,397.659,0.76462,1.13881,0.59326,0.92617,0.65452,0.55631,0.62009,0.42062,0.65452,0.55631,0.61482,0.3827,1.29638,2.02384,1.41226,1.30392,0.00992278,0.00992278,0.00992278
80,402.568,0.75546,1.12628,0.58751,0.94878,0.64177,0.60031,0.62559,0.43138,0.64177,0.60031,0.62118,0.39267,1.2659,2.09635,1.33406,1.24388,0.00992179,0.00992179,0.00992179
81,407.531,0.78479,0.98736,0.6002,0.93142,0.8246,0.5627,0.66344,0.438,0.8246,0.5627,0.65502,0.41271,1.30475,2.08543,1.34186,1.27405,0.0099208,0.0099208,0.0099208
82,412.503,0.7937,1.16519,0.59351,0.91276,0.66777,0.57132,0.64971,0.44117,0.66777,0.57132,0.64569,0.41186,1.35073,2.15696,1.33572,1.37893,0.00991981,0.00991981,0.00991981
83,417.444,0.81286,1.15767,0.61898,0.94353,0.60686,0.53448,0.5904,0.40069,0.64889,0.49647,0.58385,0.35209,1.32962,2.28376,1.41988,1.35391,0.00991882,0.00991882,0.00991882
84,422.378,0.74142,1.0608,0.56814,0.92541,0.76348,0.53487,0.61298,0.39372,0.62072,0.57445,0.60215,0.36716,1.36873,2.3925,1.47657,1.35942,0.00991783,0.00991783,0.00991783
85,427.339,0.74967,1.17038,0.56112,0.92434,0.64261,0.6058,0.62923,0.41384,0.80892,0.51176,0.62312,0.37507,1.33675,2.51716,1.44576,1.33271,0.00991684,0.00991684,0.00991684
86,432.285,0.79444,1.23001,0.60232,0.94233,0.797,0.58438,0.66548,0.44194,0.797,0.58438,0.6607,0.41705,1.32905,2.42249,1.4641,1.34233,0.00991585,0.00991585,0.00991585
87,437.234,0.7684,1.12545,0.56686,0.92135,0.69767,0.63401,0.67033,0.44612,0.70764,0.64263,0.67158,0.42121,1.27409,2.56653,1.45391,1.31097,0.00991486,0.00991486,0.00991486
88,442.192,0.7966,1.08212,0.58174,0.91844,0.70648,0.58307,0.66134,0.4515,0.70648,0.58307,0.66751,0.43709,1.25918,2.59465,1.40049,1.28833,0.00991387,0.00991387,0.00991387
89,447.163,0.77085,1.12426,0.56276,0.92141,0.67823,0.64577,0.65491,0.45481,0.68055,0.64577,0.66154,0.43682,1.16441,2.46878,1.38292,1.20983,0.00991288,0.00991288,0.00991288
90,452.115,0.76263,1.09676,0.55737,0.93685,0.71219,0.59169,0.66563,0.44107,0.71219,0.59169,0.66206,0.42562,1.18699,2.6981,1.36267,1.26829,0.00991189,0.00991189,0.00991189
91,457.068,0.74627,1.05688,0.56181,0.91898,0.68845,0.59169,0.65542,0.40944,0.68845,0.59169,0.6577,0.418,1.24066,2.59848,1.40115,1.30442,0.0099109,0.0099109,0.0099109
